iter	Passed	Remaining
0	2	364
1	4	340
2	7	338
3	9	318
4	11	304
5	13	295
6	15	286
7	17	282
8	19	280
9	21	278
10	23	274
11	25	269
12	28	277
13	30	272
14	31	266
15	33	260
16	35	255
17	37	250
18	38	246
19	40	243
20	42	238
21	43	235
22	45	233
23	47	229
24	48	225
25	50	222
26	52	219
27	53	215
28	55	212
29	57	210
30	59	207
31	60	205
32	62	202
33	64	199
34	65	196
35	67	193
36	68	191
37	70	188
38	71	185
39	73	183
40	75	181
41	76	178
42	78	176
43	79	174
44	81	171
45	82	169
46	84	167
47	85	164
48	87	162
49	89	160
50	90	158
51	92	156
52	93	154
53	95	152
54	97	149
55	98	147
56	100	146
57	103	145
58	105	144
59	107	143
60	109	141
61	111	139
62	112	137
63	114	135
64	116	134
65	117	132
66	119	130
67	121	128
68	122	126
69	124	124
70	125	122
71	127	120
72	129	118
73	130	116
74	132	114
75	133	112
76	135	110
77	137	108
78	138	106
79	140	105
80	141	103
81	143	101
82	144	99
83	146	97
84	147	95
85	149	93
86	151	92
87	152	90
88	154	88
89	155	86
90	157	84
91	159	83
92	160	81
93	162	79
94	163	77
95	165	75
96	166	73
97	168	72
98	169	70
99	171	68
100	172	66
101	174	64
102	175	63
103	177	61
104	179	59
105	181	58
106	183	56
107	184	54
108	186	53
109	188	51
110	189	49
111	191	47
112	192	46
113	194	44
114	196	42
115	198	40
116	200	39
117	201	37
118	203	35
119	205	34
120	206	32
121	208	30
122	209	29
123	211	27
124	212	25
125	214	23
126	216	22
127	217	20
128	219	18
129	221	17
130	222	15
131	224	13
132	225	11
133	227	10
134	229	8
135	230	6
136	232	5
137	233	3
138	235	1
139	237	0
